"","statefips","state","state_name","total","top_01","top_05","top_10","top_25","top_50","top_75","agi_01","agi_05","agi_10","agi_25","agi_50","agi_75","total_agi","sum_agi_01","sum_agi_05","sum_agi_10","sum_agi_25","sum_agi_50","sum_agi_75","total_sal_num","total_sal_amt","num_sal_01","sum_sal_01","num_sal_05","sum_sal_05","num_sal_10","sum_sal_10","num_sal_25","sum_sal_25","num_sal_50","sum_sal_50","num_sal_75","sum_sal_75","total_int_num","total_int_amt","num_int_01","sum_int_01","num_int_05","sum_int_05","num_int_10","sum_int_10","num_int_25","sum_int_25","num_int_50","sum_int_50","num_int_75","sum_int_75","total_div_num","total_div_amt","num_div_01","sum_div_01","num_div_05","sum_div_05","num_div_10","sum_div_10","num_div_25","sum_div_25","num_div_50","sum_div_50","num_div_75","sum_div_75","total_businc_num","total_businc_amt","num_businc_01","sum_businc_01","num_businc_05","sum_businc_05","num_businc_10","sum_businc_10","num_businc_25","sum_businc_25","num_businc_50","sum_businc_50","num_businc_75","sum_businc_75","total_cpgain_num","total_cpgain_amt","num_cpgain_01","sum_cpgain_01","num_cpgain_05","sum_cpgain_05","num_cpgain_10","sum_cpgain_10","num_cpgain_25","sum_cpgain_25","num_cpgain_50","sum_cpgain_50","num_cpgain_75","sum_cpgain_75","total_scorp_num","total_scorp_amt","num_scorp_01","sum_scorp_01","num_scorp_05","sum_scorp_05","num_scorp_10","sum_scorp_10","num_scorp_25","sum_scorp_25","num_scorp_50","sum_scorp_50","num_scorp_75","sum_scorp_75","total_tax","sum_tax_01","sum_tax_05","sum_tax_10","sum_tax_25","sum_tax_50","sum_tax_75","Year","avg_inc_1","avg_inc_5","avg_inc_10","avg_inc_25","avg_inc_50","avg_inc_75","avg_tax_rate_01","avg_tax_rate_5","avg_tax_rate_10","avg_tax_rate_25","avg_tax_rate_50","avg_tax_rate_75","true_sum_sal_10","true_sum_int_10","true_sum_div_10","true_sum_businc_10","true_sum_cpgain_10","true_sum_scorp_10","true_sum_sal_05","true_sum_int_05","true_sum_div_05","true_sum_businc_05","true_sum_cpgain_05","true_sum_scorp_05","true_sum_sal_25","true_sum_int_25","true_sum_div_25","true_sum_businc_25","true_sum_cpgain_25","true_sum_scorp_25","true_sum_sal_50","true_sum_int_50","true_sum_div_50","true_sum_businc_50","true_sum_cpgain_50","true_sum_scorp_50","true_sum_sal_75","true_sum_int_75","true_sum_div_75","true_sum_businc_75","true_sum_cpgain_75","true_sum_scorp_75","true_sum_agi_05","true_sum_agi_10","true_sum_agi_25","true_sum_agi_50","true_sum_agi_75","SalPerc01","SalPerc05","SalPerc10","SalPerc25","SalPerc50","SalPerc75","BusPerc01","BusPerc05","BusPerc10","BusPerc25","BusPerc50","BusPerc75","DivPerc01","DivPerc05","DivPerc10","DivPerc25","DivPerc50","DivPerc75","CapPerc01","CapPerc05","CapPerc10","CapPerc25","CapPerc50","CapPerc75","IntPerc01","IntPerc05","IntPerc10","IntPerc25","IntPerc50","IntPerc75","SCorpPerc01","ScorpPerc05","ScorpPerc10","ScorpPerc25","ScorpPerc50","ScorpPerc75"
"11",12,"FL","Florida",9881728,98817,494086,988173,2470432,4940864,7411296,579565.73,207997.65,140858,77361,38174,19176,805880904,215399032,338627302,421847889,574769492,709931159,779225020,7742225,460934591,76681,54566028,391777,123131365,785992,175861482,1962079,278778823,4027290,383164483,6118860,441750974,2614584,14631296,92728,8140726,392612,10465262,689234,11494208,1350330,12960882,1963411,13887788,2292047,14306039,1758713,32655194,81184,17603467,326082,24196165,549159,26796952,1001083,29953680,1384681,31649205,1581629,32252084,2225755,21075763,26345,3825797,115126,7599090,211086,9442983,472894,12265750,886142,14773116,1383658,16697900,1592684,91658612,85000,73058743,329663,83422038,538312,86692482,939421,89872871,1270799,91190219,1437664,91539462,815939,69688235,71092,45876877,218308,59330671,315299,63025315,485378,66779148,640454,68875568,737423,69578935,111054997,54348240,75658451,86293944,100429909,108802436,110913609,2019,2179777.0828906,311757.992658164,168433.063407861,103167.93691251,54711.7536528024,28049.2889502727,0.252314225813234,0.172932809979398,0.127798822183266,0.0924392938779225,0.0619445378696017,0.0304669557956945,52730117,1028946,2600787,1843893,3270444,3694644,68565337,2324536,6592698,3773293,10363295,13453794,102917341,1466674,3156728,2822767,3180389,3753833,104385660,926906,1695525,2507366,1317348,2096420,58586491,418251,602879,1924784,349243,703367,123228270,83220587,152921603,135161667,69293861,0.253325316708016,0.55640915027047,0.633618662170696,0.673007207490494,0.772302253419233,0.845478808000033,0.0177614400792665,0.0306203519695602,0.0221566930307761,0.0184589158406873,0.0185508662008438,0.0277771215548229,0.0817249123013701,0.0534998827785215,0.0312517262104868,0.0206427864871388,0.0125444220808552,0.00870032339517061,0.339178604108119,0.0840983566514405,0.0392984971374932,0.0207975128275369,0.00974646162066054,0.00504002800478963,0.0377936981629518,0.0188636584770686,0.0123640800562966,0.00959101900076211,0.00685775797660146,0.00603590266098753,0.212985530037108,0.10917782096592,0.0443957935552654,0.0245474342823885,0.0155104627408894,0.0101504951499239
"12",13,"GA","Georgia",4396791,43968,219840,439679,1099198,2198396,3297593,500496.7,207443,144023,80269,39481,19343,324518437,58787464,110571765,148071794,218217634,280722325,312277823,3681815,228812633,38295,23343909,196368,59318605,391132,87132438,961618,140188687,1921284,191286831,2878417,219100577,1052237,2821192,40703,1197908,170302,1678921,296408,1937811,572143,2340196,821635,2615646,946751,2734903,672638,7341672,35881,3385774,143083,4968460,236362,5679830,414443,6589933,556341,7078694,621669,7244664,1039152,7416159,12207,1279087,54929,2822784,104110,3603799,240197,4701613,448125,5484606,678868,5882424,591566,18044075,37066,12570020,139298,15343840,222722,16371779,375075,17432775,493546,17877786,548080,18001106,256731,23022364,27846,15155091,80092,19846592,114267,21124183,171367,22332980,217406,22902991,240867,23033736,39075781,14387311,23021563,27774430,34230153,38101733,39016987,2019,1337051.12809316,294443.123407933,170579.510459927,106359.088972418,56863.9053200606,28707.7730379541,0.244734336558556,0.166734933817104,0.126743021985396,0.0920328703740664,0.0619406309840009,0.0290045810717359,27813833,258890,711370,781015,1027939,1277591,35974696,481013,1582686,1543697,2773820,4691501,53056249,402385,910103,1097814,1060996,1208797,51098144,275450,488761,782993,445011,570011,27813746,119257,165970,397818,123320,130745,51784301,37500029,70145840,62504691,31555498,0.397089913591102,0.694702743984128,0.741701639750732,0.756370570229111,0.81750894504862,0.881423135835156,0.0217578189799104,0.0298101349287306,0.0208270505604142,0.0156504505470317,0.0125269477774076,0.0126069314450369,0.057593469247117,0.0305630465109493,0.0189698519966478,0.0129744401093493,0.00781958909292104,0.00525962226931104,0.213821436488568,0.0535648825307114,0.0274116854682966,0.0151255726640382,0.00711964162817796,0.0039080352970503,0.0203769293399014,0.00928878039697784,0.00690372799445035,0.00573640575121775,0.00440686923802247,0.00377927801995075,0.257794603965226,0.0905969745541221,0.0340690669865882,0.0172326256268369,0.00911949152744392,0.00414333502199839
"13",15,"HI","Hawaii",666486,6665,33324,66649,166622,333243,499865,415874,197809.75,147384,89931,48052.5,24842,49497587,6327512,13345925,18974982,30361842,41385420,47357785,537629,33158093,5307,2082150,27379,6187017,55597,10022447,138941,18117700,279393,26551923,424983,31576635,246884,439534,6135,144892,27728,212786,51317,254436,109629,328840,175957,389824,212967,415651,137458,1079307,5032,396408,21054,618631,36573,726424,70211,889512,104905,1005661,122432,1049031,110939,1972484,2092,323416,9155,745812,16459,941928,35571,1253434,60528,1558129,80259,1758791,115578,2457017,5160,1455834,20142,1955510,33465,2119434,61432,2311184,89169,2416102,103346,2445889,32171,2237030,3532,1387567,9890,1859141,13725,1997586,20462,2142961,26258,2215294,29348,2233783,5450657,1482622,2572593,3261491,4339852,5145266,5419618,2019,949364.141035259,263266.176525751,168913.938484621,113899.352825263,66159.5957292298,35843.7961373648,0.234313581704784,0.155301633004498,0.122382487866085,0.0947022269528211,0.0730628476525498,0.0459369110896605,3835430,41650,107793,196116,163924,138445,4104867,67894,222223,422396,499676,471574,8095253,74404,163088,311506,191750,145375,8434223,60984,116149,304695,104918,72333,5024712,25827,43370,200662,29787,18489,7018413,5629057,11386860,11023578,5972365,0.329062987158302,0.58487110975088,0.681362793093053,0.710929351902105,0.765107572151256,0.841327011996085,0.0511126648199166,0.0601839760641045,0.0348399385545394,0.0273566198231997,0.0276402997284548,0.0335984153681163,0.0626483205405221,0.0316628559761302,0.0191493886098506,0.0143224734474649,0.0105364156719352,0.00726177988116935,0.230080006169882,0.0711950123197367,0.0291210410553668,0.0168395852763624,0.00951759945817955,0.00498747146231016,0.0228987317606035,0.00967369688845612,0.00739910787899288,0.00653419818984338,0.00553214210485924,0.00432441754648284,0.219291089451905,0.067190973229988,0.0245947056496319,0.0127669085243869,0.00656166264710061,0.00309575854791192
"14",16,"ID","Idaho",761641,7616,38082,76164,190410,380821,571231,433833,186079,134371,82742,43953,22587,54923233,8965777,16866801,22802798,34701810,46355995,52551558,622776,34981214,6184,2335284,31869,6831083,64132,10860287,159990,19354168,320316,28172377,482356,33180167,230974,653385,7022,252736,29962,358060,52557,413664,105057,504870,162572,581625,197365,620464,128970,1137754,5380,454089,20989,682533,35026,789804,64790,939714,95027,1054872,112515,1102831,129893,1617810,2004,159718,9487,427443,17909,573563,41334,859166,74449,1197765,99449,1438141,131544,4108292,6113,2600424,23497,3320695,38335,3581740,68289,3871196,98173,4026381,115269,4079806,61390,4709950,5312,2712576,16524,3832890,23943,4151406,37383,4477026,50027,4656291,56700,4709471,5714151,2049148,3217630,3883624,4813776,5463459,5688132,2019,1177229.12289916,259339.066500361,155874.087495405,104152.548010434,61205.4188045859,32538.0127094165,0.228552193524331,0.147889944392018,0.112195811419716,0.0781705237376011,0.0557467553501167,0.0362635324667024,4029204,55604,107271,146120,261045,318516,4495799,105324,228444,267725,720271,1120314,8493881,91206,149910,285603,289456,325620,8818209,76755,115158,338599,155185,179265,5007790,38839,47959,240376,53425,53180,7901024,5935997,11899012,11654185,6195563,0.260466438101238,0.569014725179926,0.678774601806571,0.713830778555396,0.756655999540079,0.808286510846553,0.0178141838682805,0.0338848483437084,0.0246159154056176,0.024002244892265,0.0290538549027667,0.0387980882447648,0.0506469210643985,0.0289132142871608,0.0180712692408706,0.0125985249867804,0.00988125724793282,0.00774086229128814,0.290038888988651,0.0911617278975485,0.043976605783325,0.0243260532891302,0.0133158174509843,0.00862310656836191,0.0281889678942494,0.0133304240057998,0.00936725540797948,0.00766500613664395,0.00658604612849376,0.00626884110451302,0.302547788105816,0.141793519422293,0.0536583829136032,0.0273652972196347,0.0153820280011,0.00858356213955051
"15",17,"IL","Illinois",5647246,56472,282362,564725,1411812,2823623,4235435,568795.55,231419,162693.5,94572,48586,23868,487097364,89795451,164388490,218337452,321867775,418841419,468660651,4683592,332795487,48325,35771306,248868,86951262,497964,126387159,1229554,202810818,2441704,277790002,3664866,319057530,1872404,6781652,53474,3705515,233451,4504646,420480,4955722,876735,5722805,1376068,6323237,1647449,6585825,1233620,13194410,49492,5748612,206586,8457105,353303,9708527,664000,11433788,963682,12559270,1111855,12955251,912183,12145577,14474,1936298,62429,4162206,113296,5306629,249485,7090454,433009,8742005,607700,10139135,1051789,31052313,49417,22377749,196191,26498529,325061,28007364,587004,29751233,833193,30662296,953594,30933295,368709,27581392,34781,17322467,100287,23189325,143500,24719039,220732,26233889,291982,27158045,337725,27570192,64867340,23549941,36962963,44403823,55138994,62554902,64665146,2019,1590088.02592435,330218.42047014,191062.433817462,122219.232499141,68687.4121252774,35287.4405374087,0.262262071605387,0.179816001329561,0.137924062375843,0.103691079955387,0.0764734384942779,0.042358019489341,39435897,451076,1251422,1144423,1508835,1529714,51179956,799131,2708493,2225908,4120780,5866858,76423659,767083,1725261,1783825,1743869,1514850,74979184,600432,1125482,1651551,911063,924156,41267528,262588,395981,1397130,270999,412147,74593039,53948962,103530323,96973644,49819232,0.398364344759513,0.686122414183983,0.73098527827097,0.738176572674269,0.77319136321205,0.828345326559831,0.0215634308691205,0.0298406933118786,0.0212130680104652,0.0172299761877494,0.0170309264649269,0.0280439891164922,0.0640189668405363,0.036310264822432,0.0231964055212035,0.0166643061666098,0.0116060607148062,0.00794835616895901,0.249208047298521,0.0552434926267047,0.0279678226246503,0.0168440409482737,0.00939495477760947,0.00543964627957332,0.0412661772810741,0.0107132114566347,0.00836116179584697,0.00740925921770765,0.00619170297447005,0.00527081589696124,0.192910295645155,0.0786515481692601,0.0283548365583012,0.0146319450775789,0.00952997084444924,0.00827284932854846
"16",18,"IN","Indiana",2944413,29444,147221,294441,736103,1472207,2208310,402140.6,178371,131877,81554,42849,21488,200723645,28644833,57265600,79551482,124937352,168950438,192298979,2447958,143569452,25949,11256720,131304,30831419,264087,47898494,656453,83095865,1301725,118201058,1938297,137619129,839742,1489182,27128,501374,111310,748994,193316,879311,384396,1101949,590828,1300012,713421,1401599,496138,3557169,23145,1406687,87378,2140451,142078,2472125,257457,2961685,371616,3312368,435492,3455425,406234,5090274,8199,666694,33844,1588537,61055,2080348,133177,2952169,224746,3807965,296355,4397209,428161,8033032,23414,4962603,83203,6331223,130763,6844370,228842,7499363,325347,7869668,378468,7984715,148264,12433610,18376,8613851,49040,10967944,67790,11551739,99700,12128404,126112,12390384,138873,12446761,21348566,6858673,11190526,13759539,17567627,20388957,21278115,2019,972858.069555767,243008.117034735,151378.087216411,102761.546159733,59791.9397259083,31719.1221880634,0.239438400635815,0.151353490980867,0.11527535683802,0.0839047042614805,0.0641020718247296,0.0380819512448337,17067075,130317,331674,491811,513147,583795,19574699,247620,733764,921843,1368620,2354093,35197371,222638,489560,871821,654993,576665,35105193,198063,350683,855796,370305,261980,19418071,101587,143057,589244,115047,56377,28620767,22285882,45385870,44013086,23348541,0.392975584811404,0.683933417996799,0.765824525141074,0.775513854862758,0.797608079560702,0.831661001858746,0.0232744942168104,0.0322088852475547,0.0220682762297673,0.0192090842370103,0.0194441262310032,0.0252368659780498,0.0491078792464945,0.0256374680664568,0.0148826956904824,0.0107866170682638,0.00796769851584595,0.00612702095604175,0.173246009149364,0.0478191237851872,0.0230256536402732,0.0144316502030257,0.00841352046979846,0.00492737426291433,0.0175031217671962,0.00865175975193118,0.0058475136860188,0.00490544744432573,0.00450009344948,0.00435089284593842,0.300712208725392,0.0822512198921853,0.0261957323475014,0.0127058267253663,0.00595232063482211,0.00241458342086557
"17",19,"IA","Iowa",1364917,13649,68246,136492,341229,682459,1023688,404832.92,185605.2,138624,89029,48667,25651,99996415,12989367,26654697,37455718,59950499,82661816,95133843,1140564,68381210,11938,4892528,59653,13452896,119761,21168430,298350,37634737,590543,54636130,884353,64726786,549508,1132864,12970,309914,57954,488274,106214,591617,229181,783788,380371,970328,472989,1063230,301425,1950174,10873,624371,44066,1019234,75131,1222241,143889,1529976,221036,1781098,265206,1884451,198862,2474036,3826,254103,16228,687352,29387,919103,65993,1363408,116155,1864594,151262,2172536,264135,4461672,11075,2453250,42278,3252630,69843,3580315,129588,4013977,195915,4308784,233192,4411557,95499,5822272,8621,3654703,26204,4893926,37942,5236999,59472,5593119,79072,5772310,88332,5820855,10389691,3064854,5116114,6360818,8240094,9751597,10318430,2019,951671.697560261,250294.521677015,158265.993611347,109871.596242985,66557.2106790142,36550.3137189395,0.235950989759547,0.150106876306683,0.115239475971762,0.0835427559841547,0.0665528555653554,0.0454483461268966,7715534,103343,203007,231751,327685,343073,8560368,178360,394863,433249,799380,1239223,16466307,192171,307735,444305,433662,356120,17001393,186540,251122,501186,294807,179191,10090656,92902,103353,307942,102773,48545,13665330,10801021,22494781,22711317,12472027,0.376656383640558,0.626429658120221,0.714333765298669,0.732005659446073,0.748586838887415,0.809063033619154,0.0195623851416316,0.0317042471714917,0.0214563975016806,0.0197514703521675,0.0220676766565321,0.0246906136428345,0.0480678542688031,0.0288952407296421,0.0187951676049885,0.0136802843290628,0.0110571306807087,0.0082867844978206,0.188866016334745,0.0584969407983561,0.0303383356073468,0.0192783383843568,0.0129806210709841,0.00824028042915558,0.0238590533318521,0.013052008257393,0.00956789177615709,0.00854291490990733,0.00821352632258182,0.00744882928813416,0.281361131762618,0.0906837229690026,0.0317630157371234,0.0158312276967711,0.0078899431503686,0.00389231036783355
"18",20,"KS","Kansas",1252224,12522,62611,125222,313056,626112,939168,460193.94,197954.55,143276.7,87460,45941,23460.75,95223062,15626309,29376403,39772139,60539002,80598042,91249982,1040216,64221648,10777,5413212,54527,14254237,109559,21704549,272801,37047582,541696,52426982,813033,61234249,450927,1026744,11860,426623,52108,571034,94707,651479,198613,791790,317019,918535,385010,976568,255124,2269589,10208,1008788,40758,1425993,69074,1628738,129782,1925947,192600,2139768,225621,2217510,193447,2813296,4264,397837,17446,953296,31053,1247112,67779,1737584,114888,2225969,148837,2528581,232158,5434034,10410,3514864,39931,4298785,65818,4624108,120318,5043062,176477,5303380,205975,5389977,80179,6325929,8099,4165588,23993,5489479,34462,5850652,52647,6170130,67718,6310762,74851,6333267,10834656,3808054,5990070,7250785,9053783,10355614,10788251,2019,1247908.40121386,274513.24642137,166036.894475412,110559.65906066,64074.9258918532,34025.6695287744,0.243695040204312,0.158690987857974,0.121272317804146,0.0868209127204239,0.0648999653024272,0.0406157939304953,7450312,80445,202745,293816,325323,361173,8841025,144411,417205,555459,783921,1323891,15343033,140311,297209,490472,418954,319478,15379400,126745,213821,488385,260318,140632,8807267,58033,77742,302612,86597,22505,13750094,10395736,20766863,20059040,10651940,0.346416546607391,0.642979240723736,0.716669988541456,0.738822854467716,0.766706681875105,0.826822813496884,0.0254594351103642,0.040396742015,0.0282631263433392,0.0236180110592534,0.0243473765444408,0.0284090973099736,0.064557023670785,0.0303419743894114,0.0195027076485975,0.0143116945491478,0.010659582911246,0.00729838883808959,0.224932452058896,0.0570120466085541,0.0312938881864641,0.0201741591881258,0.0129775901538658,0.00812969280713185,0.0273015847824333,0.010502546382592,0.00773826884407222,0.00675648507913786,0.00631859750017947,0.00544811555453748,0.266575299387719,0.096282323597206,0.034742417468085,0.0153840279102337,0.00701090381194713,0.00211276068021412
"19",21,"KY","Kentucky",1807092,18071,90355,180709,451773,903546,1355319,381960,170726,125644.9,76560.25,39955,20299,116524130,16606504,33411301,46472905,72842324,98084248,111482556,1512665,81886586,15581,6651340,79051,17793102,159046,27393209,395236,47163543,786188,67005005,1175683,78134020,466527,895525,16210,296719,66264,446535,114975,525757,226258,667883,341755,789296,408869,849724,262659,2481794,13703,1182876,51405,1676280,82916,1886000,146113,2176993,205816,2366321,237175,2435226,281616,3464067,6058,527357,23624,1156631,41654,1465094,88700,1977994,148377,2498396,198072,2890086,228666,4963127,13812,3168449,48541,3973630,75803,4280283,129423,4660367,179737,4862725,206636,4928859,89751,5960969,10789,3833817,29616,5121486,40984,5451597,59801,5766646,75570,5921388,83250,5958558,12006476,3949787,6448316,7903614,10015978,11521027,11972533,2019,918958.773725859,232482.942283216,144560.32937114,97281.1550039843,55873.02472702,29657.1685337548,0.237845786205212,0.148679510975348,0.11141801573528,0.0801065810361616,0.0596249715354503,0.0336987327056521,9600107,79222,209720,308463,306653,330111,11141762,149816,493404,629274,805181,1287669,19770334,142126,290993,512900,380084,315049,19841462,121413,189328,520402,202358,154742,11129015,60428,68905,391690,66134,37170,16804797,13061604,26369419,25241924,13398308,0.400526203468231,0.66301080578361,0.73498683622624,0.749744770637533,0.786051887328399,0.830628389793696,0.0317560517252758,0.0374460935172261,0.0236160122447442,0.0194505612732689,0.0206165742357833,0.0292342883892503,0.0712296820571025,0.0293609021281245,0.0160562209664295,0.0110352450313752,0.00750053759768867,0.00514281355526384,0.190795666565341,0.0479137593866799,0.0234774381461879,0.0144138177636754,0.00801674230538052,0.00493599639596283,0.0178676378845301,0.00891507347574624,0.00606525814134313,0.00538980399985301,0.00480997407329172,0.00451012172581792,0.230862377776804,0.0766250850873117,0.0252733890875883,0.0119475138985808,0.00613035678262877,0.00277423089542351
"20",22,"LA","Louisiana",1908060,19081,95403,190806,477015,954030,1431045,417948.23,181194,132074.1,75801,37246,18249,125611785,20021754,39016697,53605138,82113789,107696657,120524906,1598647,87300056,15779,6378731,82794,18658116,168927,29793942,420549,51725516,834359,72351275,1245381,83414835,478648,1121370,17573,473867,72379,665291,125507,757999,247178,916965,366577,1034285,429071,1085524,259154,2335615,14787,998817,53889,1505472,85907,1719783,151731,2036218,209612,2226519,237417,2294012,400030,3876132,7027,825606,28023,1730111,49637,2067143,108325,2614419,188201,2989773,268297,3149110,227804,5469420,14916,3729443,51675,4581263,80075,4869215,137154,5221376,185971,5400914,209204,5450974,104732,8930188,13241,6272676,36573,8002188,50177,8404177,73503,8776630,90850,8917124,98899,8944351,13943400,4940450,7868669,9588067,12053174,13585035,13924779,2019,1049303.18117499,248878.999502109,152913.860151148,99607.8075811732,53631.1604456883,26892.7580893683,0.246754105559383,0.154157819794458,0.117860297752172,0.0864687354024573,0.0598783920551832,0.0264840509410131,11135826,92708,214311,337032,287952,401989,12279385,191424,506655,904505,851820,1729512,21931574,158966,316435,547276,352161,372453,20625759,117320,190301,375354,179538,140494,11063560,51239,67493,159337,50060,27227,18994943,14588441,28508651,25582868,12828249,0.318590019635642,0.646455480282305,0.76333214769145,0.769295397386569,0.806233257350192,0.862437266379847,0.0412354482029896,0.047618200275726,0.0231026742336621,0.0191968395838863,0.0146720844590216,0.0124207910214403,0.0498865883578432,0.0266731519015351,0.0146904662396756,0.0110996132366979,0.0074386108703684,0.00526127922836546,0.186269544616321,0.0448445673145742,0.0197383668343999,0.0123527767062707,0.00701789963502137,0.00390232525109234,0.0236676067441444,0.0100776296091017,0.00635489426183374,0.00557606180664248,0.00458588145785687,0.00399423179266321,0.313293031169996,0.0910511813591649,0.0275553090285658,0.0130645606486256,0.00549172203835786,0.00212242528189155
"21",23,"ME","Maine",625204,6252,31260,62520,156301,312602,468903,415704.28,183746.85,133610.4,82193,43965,23471,43239637,5730577,12047088,16873346,26589635,36073509,41255007,508625,28943935,5152,2160765,26365,5994540,53386,9343383,134163,16331310,267392,23405873,400258,27544697,261465,409576,5976,119034,27599,190327,51482,230789,111973,296940,182672,355800,223359,384310,122664,1203303,4833,436577,19067,702911,32046,828067,59901,998731,89452,1121645,106342,1169931,106954,1701223,1816,174883,7983,448766,14829,614990,32975,920802,58278,1264794,78057,1497668,106628,2387426,4958,1309159,18885,1799122,30633,1985854,54930,2204816,79752,2328520,93509,2368634,36678,2153471,3424,1228215,10166,1754578,14741,1907299,22868,2060900,30103,2135810,33672,2154621,4589582,1328568,2300975,2867739,3703713,4338751,4564261,2019,916599.008317338,252579.614523353,154390.850927703,103606.156897453,60676.9886309109,33150.7667897198,0.231838434419431,0.153946854521428,0.117433423575781,0.0860384041685051,0.0669597677067409,0.0435221628957494,3348843,40462,125156,166224,186732,152721,3833775,71293,266334,273883,489963,526363,6987927,66151,170664,305812,218962,153601,7074563,58860,122914,343992,123704,74910,4138824,28510,48286,232874,40114,18811,6316511,4826258,9716289,9483874,5181498,0.377058889532415,0.606945036587445,0.693879813304635,0.719197113218843,0.745957084625966,0.798769776616724,0.030517520312527,0.043359854831251,0.0344415901512103,0.0314741564397683,0.036271253709191,0.0449433735186234,0.0761837769564915,0.042164733030624,0.0259323061469155,0.0175647307320727,0.0129603155841168,0.00931892668876838,0.228451515440766,0.0775686134323205,0.0386908449569004,0.0225355585862051,0.0130436148772116,0.0077417766059159,0.0207717303161619,0.0112867689140413,0.00838372088686514,0.00680825776178539,0.00620632454627719,0.00550226980691684,0.214326585263578,0.0833312884280578,0.0316437703910566,0.0158086075867031,0.00789867094396235,0.00363041730403061
